zpid,street,city,state,zipcode,price,sold,soldTime,priceSqft,latitude,longitude,numBedrooms,numBathrooms,sqft
102658074,188 Pulaski St, BROOKLYN ,NY ,11206,-1,675000,07/12/2018,377 ,40.692737,-73.944059,-1,-1,1786
102664612,7736 Main St APT 2B, Flushing ,NY ,11367,-1,340000,11/20/2018,400 ,40.720344,-73.81876,2,1,850
102754857,10212 65th Ave APT C31, Forest Hills ,NY ,11375,-1,168000,01/31/2017,316 ,40.730476,-73.851891,-1,1,530
104465199,6411 99th St APT 203, Rego Park ,NY ,11374,-1,385000,05/12/2017,385 ,40.730742,-73.85564,2,1,1000
104465342,11050 71st Rd APT 2C, Forest Hills ,NY ,11375,-1,459000,07/28/2017,459 ,40.721943,-73.839378,2,1,1000
104465349,2345 Bell Blvd APT 4J, Bayside ,NY ,11360,-1,245000,10/24/2016,264 ,40.78086,-73.774005,2,1,925
104465352,8915 Parsons Blvd APT 15H, Jamaica ,NY ,11432,-1,57042,02/15/2018,57 ,40.705526,-73.801084,1,1,1000
108244323,122 West St APT 1C, BROOKLYN ,NY ,11222,-1,765000,05/11/2018,1111 ,40.731162,-73.959291,1,1,688
108245075,4601 39th Ave APT 301, Sunnyside ,NY ,11104,-1,143000,03/22/2016,336 ,40.749584,-73.916902,1,1,425
108612158,431 West Rd, ADAMS ,MA ,01220,-1,189000,10/26/2018,151 ,42.601521,-73.143967,3,2,1250
108872053,4310 Kissena Blvd APT 4K, Flushing ,NY ,11355,-1,498000,05/09/2017,383 ,40.754868,-73.824834,3,2,1300
109174361,210-15 23rd Ave # 5D, Bayside ,NY ,11360,-1,305000,05/22/2018,254 ,40.779523,-73.781099,3,2,1200
110282271,3918 150th Pl, Flushing ,NY ,11354,-1,20000,02/07/2018,11 ,40.76456,-73.814134,-1,-1,1698
110283744,6810 108th St APT 4F, Forest Hills ,NY ,11375,-1,670000,05/07/2018,422 ,40.726525,-73.846686,2,1.5,1586
110541358,7031 108th St APT 7J, Forest Hills ,NY ,11375,-1,475000,01/24/2017,475 ,40.722141,-73.843482,1,1,1000
111024974,4334 Union St APT 6C, Flushing ,NY ,11355,-1,216000,03/17/2016,308 ,40.753559,-73.821121,1,1,700
111025249,144-31 78th Rd APT 3J, Flushing ,NY ,11367,-1,182000,06/05/2017,280 ,40.720565,-73.817214,1,1,650
111036425,10325 68th Ave APT 6O, Forest Hills ,NY ,11375,-1,569000,06/23/2017,455 ,40.726152,-73.850027,3,2,1250
111036428,6 Burns St APT 47, Forest Hills ,NY ,11375,-1,705000,07/09/2018,640 ,40.71955,-73.8463,2,2,1100
111189236,21519 48th Ave APT 1E, Oakland Gardens ,NY ,11364,-1,220000,05/24/2016,239 ,40.755973,-73.765472,2,1,920
111375867,134-31 Montauk St, Jamaica ,NY ,11413,-1,7.30M,05/03/2016,1179 ,40.68001,-73.758172,-1,-1,6190
111443056,4518 215th Pl, Flushing ,NY ,11361,-1,745000,04/12/2016,445 ,40.759701,-73.766029,3,1.5,1672
111444335,16520 Highland Ave APT 601, Jamaica ,NY ,11432,-1,135000,03/25/2016,158 ,40.710547,-73.79784,1,1,850
111711500,6434 102nd St APT 3C, Rego Park ,NY ,11374,-1,305000,04/26/2018,391 ,40.730636,-73.853424,2,1,780
111748759,6395 Austin St APT 2L, Rego Park ,NY ,11374,-1,278000,09/26/2017,347 ,40.727321,-73.863183,1,1,800
112077778,1 Middleton St APT 6L, BROOKLYN ,NY ,11206,-1,800000,10/05/2018,668 ,40.700069,-73.956099,-1,-1,1197
112078030,607 Manhattan Ave # 3, Brooklyn ,NY ,11222,-1,795000,02/25/2016,1029 ,40.72327,-73.95081,1,1,772
112078032,21 Broome St # P, BROOKLYN ,NY ,11222,-1,75000,05/15/2018,490 ,40.72234,-73.946564,-1,-1,153
112078036,21 Broome St # 2F, BROOKLYN ,NY ,11222,-1,745000,02/02/2018,1098 ,40.722548,-73.946458,-1,-1,678
112078040,21 Broome St # 4F, BROOKLYN ,NY ,11222,-1,790000,03/30/2018,1165 ,40.722548,-73.946458,-1,-1,678
112078108,318 Knickerbocker Ave APT 2K, BROOKLYN ,NY ,11237,-1,795000,05/24/2017,998 ,40.701332,-73.923073,1,1,796
112078109,318 Knickerbocker Ave APT 2L, BROOKLYN ,NY ,11237,-1,785000,02/27/2018,986 ,40.701332,-73.923073,1,1,796
112078110,318 Knickerbocker Ave APT 3M, BROOKLYN ,NY ,11237,-1,870000,06/23/2017,820 ,40.701332,-73.923073,2,2,1060
112079634,762 41st St APT S2, BROOKLYN ,NY ,11232,-1,410000,04/05/2016,327 ,40.64633,-73.999216,-1,-1,1252
112079641,762 41st St APT 3C, BROOKLYN ,NY ,11232,-1,479000,02/16/2016,557 ,40.64633,-73.999216,-1,-1,859
112079974,437 Marcy Ave # 2B, Brooklyn ,NY ,11206,-1,254000,11/01/2018,153 ,40.700736,-73.950608,-1,-1,1659
112079981,437 Marcy Ave # 4B, Brooklyn ,NY ,11206,-1,430000,11/02/2016,259 ,40.700736,-73.950608,-1,-1,1659
112079989,437 Marcy Ave # 6B, Brooklyn ,NY ,11206,-1,999500,09/21/2016,602 ,40.700736,-73.950608,-1,-1,1659
112080478,122 West St APT 4D, BROOKLYN ,NY ,11222,-1,743999,06/19/2017,1098 ,40.731162,-73.959291,1,1,677
112080496,122 West St APT 3I, BROOKLYN ,NY ,11222,-1,965000,01/02/2018,1000 ,40.731162,-73.959291,1,1.5,965
112080504,122 West St APT 4I, BROOKLYN ,NY ,11222,-1,995000,06/09/2016,1031 ,40.731162,-73.959291,2,2,965
112080524,122 West St APT 4O, BROOKLYN ,NY ,11222,-1,925000,10/17/2018,1313 ,40.731162,-73.959291,1,1,704
112080553,21 Broome St # 3F, BROOKLYN ,NY ,11222,-1,669000,10/31/2017,986 ,40.722548,-73.946458,-1,-1,678
112080586,121 Kingsland Ave APT 2A, BROOKLYN ,NY ,11222,-1,600000,04/14/2016,1018 ,40.720684,-73.941135,1,1,589
112080595,14 Monitor St APT 1C, BROOKLYN ,NY ,11222,-1,670000,12/21/2017,806 ,40.719577,-73.941425,1,2,831
112080628,369 Harman St APT 5A, BROOKLYN ,NY ,11237,-1,1.09M,01/04/2018,835 ,40.70155,-73.917646,3,2,1310
112080639,369 Harman St # P3, BROOKLYN ,NY ,11237,-1,7636,01/04/2018,49 ,40.70155,-73.917646,-1,-1,153
112080640,369 Harman St # P4, BROOKLYN ,NY ,11237,-1,7636,01/04/2018,49 ,40.70155,-73.917646,-1,-1,153
112080645,1067 Greene Ave # 2, BROOKLYN ,NY ,11221,-1,851000,12/21/2016,718 ,40.692296,-73.924997,3,2,1184
112081195,4325 43rd St APT 3H, Sunnyside ,NY ,11104,-1,320000,09/04/2018,355 ,40.744347,-73.920986,1,1,900
112081246,4112 41st St APT 4E, Sunnyside ,NY ,11104,-1,370000,05/01/2018,400 ,40.746785,-73.923008,1,1,925
112085994,519 Borden Ave APT 1F, LONG ISLAND CITY ,NY ,11101,-1,765000,08/29/2017,621 ,40.74183,-73.95688,-1,-1,1230
112086001,525 Borden Ave # 6, Long Island City ,NY ,11101,-1,90000,05/31/2018,514 ,40.74183,-73.95688,-1,-1,175
112086009,1017 Jackson Ave APT 3A, LONG ISLAND CITY ,NY ,11101,-1,940000,01/12/2018,1250 ,40.74192,-73.95372,1,1,752
112086010,1017 Jackson Ave APT 3B, LONG ISLAND CITY ,NY ,11101,-1,760000,05/12/2016,1266 ,40.74192,-73.95372,1,1,600
112086018,1017 Jackson Ave APT 5B, LONG ISLAND CITY ,NY ,11101,-1,785000,02/25/2016,1308 ,40.742068,-73.953626,1,1,600
112086021,4333 42nd St APT 3A, Long Island City ,NY ,11104,-1,520000,11/14/2018,1000 ,40.744328,-73.922028,1,1,520
112086022,4333 42nd St APT 3B, Long Island City ,NY ,11104,-1,520000,12/06/2018,968 ,40.744316,-73.921967,1,1,537
112086033,1124 31st Ave APT 9E, Long Island City ,NY ,11106,-1,1.07M,07/03/2017,843 ,40.768051,-73.935127,2,2,1268
112086039,3135 31st St APT 415, Long Island City ,NY ,11106,-1,550000,03/25/2016,864 ,40.763325,-73.923887,-1,-1,636
112086043,3135 31st St APT 702, Long Island City ,NY ,11106,-1,998000,06/07/2017,1075 ,40.762614,-73.925171,2,2,928
112086044,2311 21st Ave APT 1C, Long island city ,NY ,11105,-1,820000,09/26/2016,935 ,40.78158,-73.91358,2,2,877
112086050,2311 21st Ave # PS18, Long Island City ,NY ,11105,-1,655000,05/03/2018,4281 ,40.781505,-73.913029,-1,-1,153
112086053,2620 21st St # 4A, Long Island City ,NY ,11102,-1,570000,03/01/2018,781 ,40.773049,-73.925603,-1,-1,729
112086054,2620 21st St # 6B, Long Island City ,NY ,11102,-1,565000,12/21/2016,818 ,40.773067,-73.925583,1,1,690
