,model,cv rmse,std rmse,cv mae,std mae
0,AutoEncoder,307.80263368964313,149.90174161959965,131.20007732666463,10.93700209628306
1,GCN-SG,315.82375130425976,146.78666399902787,147.53569459691926,9.213426348761214
2,GCN-flow,315.82375130425976,146.78666399902787,147.53569459691926,9.213426348761214
3,GCN-SG-flow,315.82375130425976,146.78666399902787,147.53569459691926,9.213426348761214
4,GCN-SG-flow + AE,307.80263368964313,154.86660700086898,131.20007732666463,10.127829377152294
5,RegionEncoder,293.9022712124911,154.86660700086898,107.6856679828056,10.127829377152294
