,model,cv rmse,std rmse,cv mae,std mae
0,Naive,26247.797265771987,5344.53122855718,2083.5871086290526,161.52534329036104
1,Naive + raw features,26647.858628062095,5238.616929101117,2579.4731573775716,129.75063479131072
2,Naive+raw features+kmeans,26649.988929489824,5238.216159133946,2591.513977209336,128.8726700482126
3,DeepWalk Embedding,26250.92752001154,5345.042741279857,2315.5313196345483,166.94685894644763
4,Matrix Factorization,26245.072834860417,5341.772883485403,2115.456979252473,153.3647376347362
5,PCA,26257.485739856616,5352.225789060891,2340.0903383473105,165.73410901915787
6,AutoEncoder,26252.936179249595,5352.3335994414565,2391.5870996147305,177.4253223102115
7,AutoEncoder + DeepWalk,26267.599041751197,5352.847242312938,2525.7461805014705,187.97191256867902
8,RegionEncoder,26242.401577407327,5342.968013048318,2203.0277225215505,164.8982199754959
