,model,cv rmse,std rmse,cv mae,std mae
0,AutoEncoder,19480.963426936396,5403.292408074328,896.5672062949255,181.798977135741
1,GCN-SG,19758.06777024629,5621.10512724987,898.7809030900398,205.63466869052817
2,GCN-flow,19779.776935012596,5619.269512340527,897.5816122506758,205.7739348232316
3,GCN-SG-flow,19777.71252407124,5649.450175820697,900.4003888904884,209.9457247695834
4,GCN-SG-flow + AE,19922.079251163435,5994.730416575849,895.4060954606306,298.27629001591896
5,RegionEncoder,15174.235876135539,5994.730416575849,690.7992836718481,298.27629001591896
