,model,cv rmse,std rmse,cv mae,std mae
0,AutoEncoder,1848.5639846403508,1182.6326133828757,635.9415107281095,80.86014167324272
1,GCN-SG,1709.6902056743406,1266.1443878583384,428.0677437503449,75.52511536370424
2,GCN-flow,1707.3385888261096,1260.2145782668208,429.5941702009728,71.71613169341477
3,GCN-SG-flow,1706.5704919333214,1263.0976907546626,421.61672333085505,80.56107838553898
4,GCN-SG-flow + AE,1751.7381881102367,1260.3516595117615,508.7972807821658,72.53196398155382
5,RegionEncoder,1716.1618761120335,1260.3516595117615,439.0059825613068,72.53196398155382
