,model,cv rmse,std rmse,cv mae,std mae
0,AutoEncoder,6166.890956813457,5187.289018169768,488.2192985181679,88.06952780013572
1,GCN-SG,6244.754143859618,4861.040567971509,482.3423249014435,87.51045377939828
2,GCN-flow,6148.422862954169,4655.570686104889,480.4038336126449,83.70859190619976
3,GCN-SG-flow,5831.340062569643,4394.751643102441,484.7095460196504,82.33423895103081
4,GCN-SG-flow + AE,5765.216521533473,3695.634353232889,470.05513386435314,64.77928264192654
5,RegionEncoder,5348.3881811139045,3695.634353232889,466.00317879528103,64.77928264192654
