,Automotive,Bakery,Building,Bus Station,Classroom,Convenience Store,Dentist's Office,Gas Station / Garage,Gym,Laundry,Rental Car,Residence Hall,Residential,Taxi
target,0.0,0.0,0.050359712230215826,0.050359712230215826,0.0,0.0,0.0,0.0,0.02877697841726619,0.0,0.03597122302158273,0.0,0.33093525179856115,0.0
neighbor_2,0.0,0.0,0.0,0.03804347826086957,0.0,0.0,0.03260869565217391,0.0,0.0,0.0,0.03804347826086957,0.0,0.16304347826086957,0.04891304347826087
neighbor_3,0.024390243902439025,0.0,0.024390243902439025,0.032520325203252036,0.0,0.02032520325203252,0.0,0.0,0.0,0.0,0.0,0.0,0.06910569105691057,0.0
neighbor_4,0.0,0.043478260869565216,0.0,0.15217391304347827,0.0,0.0,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.06521739130434782,0.0
neighbor_5,0.0,0.0,0.0,0.04291845493562232,0.04291845493562232,0.0,0.0,0.0,0.02575107296137339,0.0,0.0,0.06437768240343347,0.12446351931330472,0.0
