,Academic Building,Art Gallery,Building,Classroom,Coworking Space,Doctor's Office,Event Space,Government,Office,Residential,Salon / Barbershop,Taxi,Tech Startup
target,0.02843601895734597,0.02843601895734597,0.03981042654028436,0.029383886255924172,0.0,0.0,0.0,0.0,0.0966824644549763,0.0,0.0,0.0,0.0
neighbor_2,0.0,0.0,0.04504504504504504,0.0,0.0,0.0,0.018018018018018018,0.0,0.0990990990990991,0.035035035035035036,0.0,0.023023023023023025,0.0
neighbor_3,0.0,0.0,0.03926701570680628,0.0,0.0274869109947644,0.0,0.049738219895287955,0.0,0.20157068062827224,0.0,0.0,0.04057591623036649,0.0
neighbor_4,0.0,0.0,0.06976744186046512,0.0,0.028792912513842746,0.0,0.0,0.0221483942414175,0.19601328903654486,0.0,0.0,0.0,0.024363233665559248
neighbor_5,0.0,0.0,0.0,0.0,0.0,0.04497907949790795,0.0,0.0,0.049163179916317995,0.03556485355648536,0.0397489539748954,0.03556485355648536,0.0
